date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.flags,tcp.window_size_value,tcp.options.mss_val
Mar 26, 2024 14:34:11.819860000 EDT,192.168.4.143,140.82.113.25,47438,443,0x0018,70,
Mar 26, 2024 14:34:11.820030000 EDT,140.82.113.25,192.168.4.143,443,47438,0x0018,243,
Mar 26, 2024 14:34:11.859645000 EDT,192.168.4.143,140.82.113.25,47438,443,0x0010,70,
Mar 26, 2024 14:34:18.775058000 EDT,192.168.4.142,192.168.4.143,5900,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775114000 EDT,192.168.4.142,192.168.4.143,993,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775129000 EDT,192.168.4.142,192.168.4.143,587,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775149000 EDT,192.168.4.142,192.168.4.143,25,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775162000 EDT,192.168.4.142,192.168.4.143,995,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775178000 EDT,192.168.4.142,192.168.4.143,199,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775195000 EDT,192.168.4.142,192.168.4.143,53,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775210000 EDT,192.168.4.142,192.168.4.143,22,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775229000 EDT,192.168.4.142,192.168.4.143,111,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.775242000 EDT,192.168.4.142,192.168.4.143,80,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.799840000 EDT,192.168.4.143,192.168.4.142,41919,5900,0x0012,5840,1460
Mar 26, 2024 14:34:18.799840000 EDT,192.168.4.143,192.168.4.142,41919,25,0x0012,5840,1460
Mar 26, 2024 14:34:18.799840000 EDT,192.168.4.143,192.168.4.142,41919,199,0x0014,0,
Mar 26, 2024 14:34:18.799840000 EDT,192.168.4.143,192.168.4.142,41919,80,0x0012,5840,1460
Mar 26, 2024 14:34:18.799840000 EDT,192.168.4.143,192.168.4.142,41919,53,0x0012,5840,1460
Mar 26, 2024 14:34:18.799840000 EDT,192.168.4.143,192.168.4.142,41919,22,0x0012,5840,1460
Mar 26, 2024 14:34:18.799841000 EDT,192.168.4.143,192.168.4.142,41919,993,0x0014,0,
Mar 26, 2024 14:34:18.799841000 EDT,192.168.4.143,192.168.4.142,41919,587,0x0014,0,
Mar 26, 2024 14:34:18.799918000 EDT,192.168.4.142,192.168.4.143,5900,41919,0x0004,0,
Mar 26, 2024 14:34:18.799958000 EDT,192.168.4.142,192.168.4.143,25,41919,0x0004,0,
Mar 26, 2024 14:34:18.799970000 EDT,192.168.4.142,192.168.4.143,80,41919,0x0004,0,
Mar 26, 2024 14:34:18.799981000 EDT,192.168.4.142,192.168.4.143,53,41919,0x0004,0,
Mar 26, 2024 14:34:18.799996000 EDT,192.168.4.142,192.168.4.143,22,41919,0x0004,0,
Mar 26, 2024 14:34:18.800002000 EDT,192.168.4.143,192.168.4.142,41919,995,0x0014,0,
Mar 26, 2024 14:34:18.800002000 EDT,192.168.4.143,192.168.4.142,41919,111,0x0012,5840,1460
Mar 26, 2024 14:34:18.800012000 EDT,192.168.4.142,192.168.4.143,111,41919,0x0004,0,
Mar 26, 2024 14:34:18.800194000 EDT,192.168.4.142,192.168.4.143,443,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800224000 EDT,192.168.4.142,192.168.4.143,1723,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800238000 EDT,192.168.4.142,192.168.4.143,256,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800251000 EDT,192.168.4.142,192.168.4.143,8888,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800270000 EDT,192.168.4.142,192.168.4.143,113,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800283000 EDT,192.168.4.142,192.168.4.143,21,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800308000 EDT,192.168.4.142,192.168.4.143,1025,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800323000 EDT,192.168.4.142,192.168.4.143,143,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800344000 EDT,192.168.4.142,192.168.4.143,8080,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800358000 EDT,192.168.4.142,192.168.4.143,139,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800384000 EDT,192.168.4.142,192.168.4.143,3306,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800398000 EDT,192.168.4.142,192.168.4.143,3389,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800411000 EDT,192.168.4.142,192.168.4.143,445,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800431000 EDT,192.168.4.142,192.168.4.143,554,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800446000 EDT,192.168.4.142,192.168.4.143,1720,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800469000 EDT,192.168.4.142,192.168.4.143,110,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800483000 EDT,192.168.4.142,192.168.4.143,135,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800504000 EDT,192.168.4.142,192.168.4.143,23,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800517000 EDT,192.168.4.142,192.168.4.143,15002,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.800530000 EDT,192.168.4.142,192.168.4.143,1533,41919,0x0002,1024,1460
Mar 26, 2024 14:34:18.804961000 EDT,192.168.4.143,192.168.4.142,41919,256,0x0014,0,
Mar 26, 2024 14:34:18.804961000 EDT,192.168.4.143,192.168.4.142,41919,1025,0x0014,0,
Mar 26, 2024 14:34:18.804961000 EDT,192.168.4.143,192.168.4.142,41919,8888,0x0014,0,
Mar 26, 2024 14:34:18.804962000 EDT,192.168.4.143,192.168.4.142,41919,1723,0x0014,0,
Mar 26, 2024 14:34:18.804962000 EDT,192.168.4.143,192.168.4.142,41919,113,0x0014,0,
Mar 26, 2024 14:34:18.804962000 EDT,192.168.4.143,192.168.4.142,41919,143,0x0014,0,
Mar 26, 2024 14:34:18.804962000 EDT,192.168.4.143,192.168.4.142,41919,443,0x0014,0,
Mar 26, 2024 14:34:18.804962000 EDT,192.168.4.143,192.168.4.142,41919,23,0x0012,5840,1460
Mar 26, 2024 14:34:18.805040000 EDT,192.168.4.142,192.168.4.143,23,41919,0x0004,0,
Mar 26, 2024 14:34:18.805076000 EDT,192.168.4.143,192.168.4.142,41919,21,0x0012,5840,1460
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,3306,0x0012,5840,1460
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,135,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,3389,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,1533,0x0014,0,
Mar 26, 2024 14:34:18.805077000 EDT,192.168.4.143,192.168.4.142,41919,110,0x0014,0,
