date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 08:21:53.460222000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:21:53.461990000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:21:53.462027000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:22:11.859421000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:22:11.862296000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:22:11.862321000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar 10, 2024 16:51:27.302272000 EDT,192.168.4.140,192.168.4.137,139,37705,64240,0x0002
Mar 10, 2024 16:51:27.303152000 EDT,192.168.4.137,192.168.4.140,37705,139,5792,0x0012
Mar 10, 2024 16:51:27.303285000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0010
Mar 10, 2024 16:51:27.318166000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0018
Mar 10, 2024 16:51:27.318795000 EDT,192.168.4.137,192.168.4.140,37705,139,181,0x0010
Mar 10, 2024 16:51:27.319218000 EDT,192.168.4.137,192.168.4.140,37705,139,181,0x0018
Mar 10, 2024 16:51:27.319248000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0010
Mar 10, 2024 16:51:27.323818000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0018
Mar 10, 2024 16:51:27.334912000 EDT,192.168.4.137,192.168.4.140,4444,49803,5840,0x0002
Mar 10, 2024 16:51:27.335006000 EDT,192.168.4.140,192.168.4.137,49803,4444,65160,0x0012
Mar 10, 2024 16:51:27.336015000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:27.361174000 EDT,192.168.4.137,192.168.4.140,37705,139,215,0x0010
Mar 10, 2024 16:51:28.511345000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0018
Mar 10, 2024 16:51:28.512211000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:28.512366000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018
Mar 10, 2024 16:51:28.512417000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0010
Mar 10, 2024 16:51:33.518005000 EDT,192.168.4.140,192.168.4.137,139,37705,502,0x0011
Mar 10, 2024 16:51:33.555774000 EDT,192.168.4.137,192.168.4.140,37705,139,215,0x0010
Mar 10, 2024 16:51:34.413600000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0018
Mar 10, 2024 16:51:34.454760000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:44.538348000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0018
Mar 10, 2024 16:51:44.539512000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010
Mar 10, 2024 16:51:44.541208000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018
Mar 10, 2024 16:51:44.541315000 EDT,192.168.4.140,192.168.4.137,49803,4444,510,0x0010
Mar  8, 2024 08:21:53.460222000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:21:53.461990000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:21:53.462027000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:22:11.859421000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:22:11.862296000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:22:11.862321000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010

