date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 08:09:12.817198000 EST,192.168.4.140,192.168.4.137,6200,40291,64240,0x0002
Mar  8, 2024 08:09:12.818455000 EST,192.168.4.137,192.168.4.140,40291,6200,0,0x0014
Mar  8, 2024 08:09:12.819839000 EST,192.168.4.140,192.168.4.137,21,45117,64240,0x0002
Mar  8, 2024 08:09:12.821328000 EST,192.168.4.137,192.168.4.140,45117,21,5792,0x0012
Mar  8, 2024 08:09:12.821501000 EST,192.168.4.140,192.168.4.137,21,45117,502,0x0010
Mar  8, 2024 08:09:12.825815000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0018
Mar  8, 2024 08:09:12.825903000 EST,192.168.4.140,192.168.4.137,21,45117,502,0x0010
Mar  8, 2024 08:09:12.828193000 EST,192.168.4.140,192.168.4.137,21,45117,502,0x0018
Mar  8, 2024 08:09:12.829369000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0010
Mar  8, 2024 08:09:12.829369000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0018
Mar  8, 2024 08:09:12.831096000 EST,192.168.4.140,192.168.4.137,21,45117,502,0x0018
Mar  8, 2024 08:09:12.832180000 EST,192.168.4.140,192.168.4.137,6200,37773,64240,0x0002
Mar  8, 2024 08:09:12.833578000 EST,192.168.4.137,192.168.4.140,37773,6200,5792,0x0012
Mar  8, 2024 08:09:12.833710000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:09:12.835105000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:12.836176000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:09:12.838655000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:09:12.838767000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:09:12.839882000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:12.868815000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0010
Mar  8, 2024 08:09:12.868816000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:09:16.448491000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:16.451014000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:09:16.453147000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:09:16.493849000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:09:17.604362000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:17.605840000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:09:17.605867000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:09:23.211780000 EST,192.168.4.140,192.168.4.137,21,45117,502,0x0011
Mar  8, 2024 08:09:23.247075000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0010
Mar  8, 2024 08:09:23.274774000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:23.307763000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:09:54.436827000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:54.437960000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:09:57.857379000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:09:57.858469000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:10:02.047544000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0018
Mar  8, 2024 08:10:02.049076000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0010
Mar  8, 2024 08:10:02.050899000 EST,192.168.4.137,192.168.4.140,37773,6200,181,0x0018
Mar  8, 2024 08:10:02.050982000 EST,192.168.4.140,192.168.4.137,6200,37773,502,0x0010
Mar  8, 2024 08:14:12.830458000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0018
Mar  8, 2024 08:14:12.830459000 EST,192.168.4.137,192.168.4.140,45117,21,181,0x0011
Mar  8, 2024 08:14:12.830508000 EST,192.168.4.140,192.168.4.137,21,45117,0,0x0004
Mar  8, 2024 08:14:12.830595000 EST,192.168.4.140,192.168.4.137,21,45117,0,0x0004
