tcp.window_size_value,tcp.flags,tcp.options.mss_val
31808,0x0002,2272
0,0x0014,0
31808,0x0002,2272
5792,0x0012,1460
249,0x0010,0
46,0x0018,0
249,0x0010,0
249,0x0018,0
46,0x0010,0
46,0x0018,0
249,0x0018,0
31808,0x0002,2272
5792,0x0012,1460
249,0x0010,0
249,0x0018,0
46,0x0010,0
46,0x0018,0
249,0x0010,0
249,0x0018,0
46,0x0010,0
46,0x0010,0
249,0x0018,0
46,0x0010,0
46,0x0018,0
249,0x0010,0
249,0x0018,0
46,0x0018,0
249,0x0010,0
249,0x0011,0
46,0x0010,0
249,0x0018,0
46,0x0010,0
249,0x0018,0
46,0x0010,0
46,0x0018,0
248,0x0010,0
248,0x0018,0
46,0x0010,0
