date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags,tcp.options.unknown.payload
Mar 10, 2024 17:00:03.990443000 EDT,40.99.227.34,192.168.4.136,443,4249,1024,0x0010,0x6558
Mar 10, 2024 17:00:03.990457000 EDT,40.99.227.34,192.168.4.136,443,4249,1024,0x0010,0x8340
Mar 10, 2024 17:00:03.990469000 EDT,40.99.227.34,192.168.4.136,443,4249,1024,0x0018,0x6cdd
Mar 10, 2024 17:00:09.301590000 EDT,40.126.28.19,192.168.4.136,443,4538,1020,0x0010,0x8882
Mar 10, 2024 17:00:09.301604000 EDT,40.126.28.19,192.168.4.136,443,4538,1020,0x0010,0xd462
Mar 10, 2024 17:00:09.301617000 EDT,40.126.28.19,192.168.4.136,443,4538,1020,0x0018,0xc2e9
Mar 10, 2024 17:00:11.278605000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a8f
Mar 10, 2024 17:00:11.281598000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018,0x9179
Mar 10, 2024 17:00:11.281693000 EDT,192.168.4.140,192.168.4.137,49803,4444,496,0x0010,0x8a8c
Mar 10, 2024 17:00:15.092491000 EDT,172.217.165.14,192.168.4.136,443,4539,1024,0x0010,0x94de
Mar 10, 2024 17:00:15.092502000 EDT,172.217.165.14,192.168.4.136,443,4539,1024,0x0018,0x3b35
Mar 10, 2024 17:00:36.737649000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a92
Mar 10, 2024 17:00:36.781598000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xdee9
Mar 10, 2024 17:00:37.499180000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a8f
Mar 10, 2024 17:00:37.500049000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xdba5
Mar 10, 2024 17:00:37.502296000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018,0x21a6
Mar 10, 2024 17:00:37.502427000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0010,0x8a8c
Mar 10, 2024 17:00:39.064999000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a92
Mar 10, 2024 17:00:39.069354000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0018,0x1596
Mar 10, 2024 17:00:39.069410000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0010,0x8a8c
Mar 10, 2024 17:00:44.670197000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a95
Mar 10, 2024 17:00:44.710095000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xbc3c
Mar 10, 2024 17:00:45.574072000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a8d
Mar 10, 2024 17:00:45.575375000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xb85d
Mar 10, 2024 17:00:46.036191000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a8d
Mar 10, 2024 17:00:46.037422000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xb660
Mar 10, 2024 17:00:46.307376000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a8d
Mar 10, 2024 17:00:46.308589000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xb534
Mar 10, 2024 17:00:46.528294000 EDT,192.168.4.140,192.168.4.137,49803,4444,501,0x0018,0x8a8d
Mar 10, 2024 17:00:46.529337000 EDT,192.168.4.137,192.168.4.140,4444,49803,183,0x0010,0xb440
Mar 10, 2024 17:00:56.538130000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010,0x4fdb
Mar 10, 2024 17:00:56.538144000 EDT,40.99.227.34,192.168.4.136,443,4249,1025,0x0010,0x7d5c
