tcp.srcport,tcp.flags
37056,0x0018
37056,0x0018
37056,0x0018
37056,0x0018
443,0x0010
443,0x0018
37056,0x0010
37056,0x0010
37056,0x0018
37056,0x0018
41474,0x0002
41474,0x0002
443,0x0012
41474,0x0010
41474,0x0010
41474,0x0018
41474,0x0018
443,0x0010
443,0x0018
41474,0x0010
41474,0x0010
41474,0x0018
41474,0x0018
443,0x0010
443,0x0018
41474,0x0010
41474,0x0010
41474,0x0018
41474,0x0018
41474,0x0018
41474,0x0018
443,0x0010
443,0x0018
41474,0x0010
41474,0x0010
443,0x0019
41474,0x0018
41474,0x0011
41474,0x0018
41474,0x0011
443,0x0010
43458,0x0002
43458,0x0002
443,0x0012
43458,0x0010
43458,0x0010
43458,0x0018
43458,0x0018
443,0x0010
443,0x0018
43458,0x0010
43458,0x0010
43458,0x0018
43458,0x0018
43458,0x0018
43458,0x0018
43458,0x0018
43458,0x0018
443,0x0018
443,0x0010
443,0x0018
43458,0x0010
43458,0x0018
43458,0x0010
43458,0x0018
443,0x0010
443,0x0018
443,0x0018
443,0x0018
443,0x0018
43458,0x0010
43458,0x0010
43458,0x0018
43458,0x0010
43458,0x0010
43458,0x0018
443,0x0010
37056,0x0018
37056,0x0018
37056,0x0018
37056,0x0018
443,0x0010
443,0x0018
37056,0x0018
37056,0x0018
443,0x0010
38498,0x0010
443,0x0004
49870,0x0018
49870,0x0018
49870,0x0018
49870,0x0011
49870,0x0018
49870,0x0011
443,0x0010
443,0x0011
49870,0x0010
49870,0x0010
34324,0x0018
34324,0x0018
34324,0x0018
34324,0x0011
34324,0x0018
34324,0x0011
443,0x0010
443,0x0011
34324,0x0010
34324,0x0010
60186,0x0018
60186,0x0018
60186,0x0018
60186,0x0011
60186,0x0018
60186,0x0011
443,0x0010
443,0x0011
60186,0x0010
60186,0x0010
48038,0x0010
59946,0x0010
443,0x0004
443,0x0004
50468,0x0010
443,0x0004
43274,0x0010
443,0x0010
43274,0x0011
43990,0x0002
443,0x0018
443,0x0011
43274,0x0004
43274,0x0004
443,0x0012
43990,0x0010
43990,0x0018
443,0x0010
443,0x0018
43990,0x0010
43990,0x0018
43990,0x0018
43990,0x0018
443,0x0010
443,0x0018
443,0x0010
443,0x0018
43990,0x0010
443,0x0010
43990,0x0018
443,0x0018
43990,0x0010
443,0x0018
443,0x0018
43990,0x0010
443,0x0010
43990,0x0010
44862,0x0002
443,0x0012
44862,0x0010
44862,0x0018
44862,0x0010
443,0x0010
44862,0x0010
443,0x0018
44862,0x0010
44862,0x0018
44862,0x0018
44862,0x0018
43990,0x0018
443,0x0010
443,0x0018
443,0x0018
44862,0x0010
44862,0x0018
43990,0x0018
443,0x0010
443,0x0018
43990,0x0010
443,0x0018
443,0x0010
443,0x0018
43990,0x0010
43990,0x0018
443,0x0010
44862,0x0010
443,0x0010
44862,0x0010
443,0x0010
44862,0x0010
44862,0x0010
443,0x0010
44862,0x0010
443,0x0018
44862,0x0010
443,0x0018
44862,0x0010
60362,0x0002
443,0x0012
60362,0x0010
60362,0x0018
443,0x0010
443,0x0018
60362,0x0010
60362,0x0018
60362,0x0018
60362,0x0018
60362,0x0018
60362,0x0018
60362,0x0018
60362,0x0018
60362,0x0018
60362,0x0018
443,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0018
443,0x0018
60362,0x0010
443,0x0018
60362,0x0010
443,0x0018
443,0x0018
60362,0x0010
443,0x0018
60362,0x0010
443,0x0010
60362,0x0018
443,0x0018
443,0x0018
60362,0x0010
60362,0x0010
443,0x0010
57514,0x0002
443,0x0012
57514,0x0010
57514,0x0018
443,0x0018
57514,0x0010
57514,0x0010
443,0x0018
57514,0x0010
57514,0x0018
57514,0x0018
57514,0x0018
443,0x0018
443,0x0018
443,0x0018
57514,0x0010
57514,0x0018
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
57514,0x0010
443,0x0018
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
57514,0x0018
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
57514,0x0010
443,0x0018
57514,0x0018
57514,0x0018
57514,0x0018
57514,0x0018
57514,0x0018
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
57514,0x0010
443,0x0018
443,0x0018
57514,0x0010
57514,0x0010
443,0x0018
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
57514,0x0010
443,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
443,0x0010
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0010
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
443,0x0010
443,0x0018
57514,0x0010
52386,0x0002
52402,0x0002
52418,0x0002
52430,0x0002
52440,0x0002
52456,0x0002
443,0x0012
52386,0x0010
443,0x0012
52418,0x0010
52386,0x0018
443,0x0012
52418,0x0018
443,0x0012
52456,0x0010
52440,0x0010
52456,0x0018
52440,0x0018
443,0x0012
443,0x0012
52430,0x0010
52402,0x0010
52430,0x0018
52402,0x0018
443,0x0018
52386,0x0010
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
52418,0x0010
443,0x0018
443,0x0018
52418,0x0010
52418,0x0010
52456,0x0010
443,0x0018
52456,0x0010
443,0x0018
52456,0x0010
443,0x0010
52440,0x0010
443,0x0018
52440,0x0010
443,0x0018
52440,0x0010
52430,0x0010
443,0x0018
52430,0x0010
443,0x0018
52430,0x0010
52402,0x0010
443,0x0010
443,0x0018
443,0x0018
52402,0x0010
52402,0x0010
52386,0x0018
52418,0x0018
52456,0x0018
52440,0x0018
52430,0x0018
52402,0x0018
52418,0x0011
52456,0x0011
52440,0x0011
52430,0x0011
52402,0x0011
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
443,0x0018
443,0x0018
52386,0x0010
443,0x0018
443,0x0018
52418,0x0004
52418,0x0004
443,0x0018
443,0x0018
52456,0x0004
52456,0x0004
443,0x0018
443,0x0018
52440,0x0004
52440,0x0004
443,0x0018
443,0x0011
52456,0x0004
52456,0x0004
443,0x0018
443,0x0011
52440,0x0004
52440,0x0004
443,0x0018
443,0x0018
52386,0x0018
443,0x0018
52430,0x0004
52430,0x0004
443,0x0010
443,0x0018
443,0x0011
52418,0x0004
52418,0x0004
443,0x0010
443,0x0018
443,0x0018
52402,0x0004
52402,0x0004
443,0x0018
52386,0x0010
443,0x0018
443,0x0018
443,0x0011
52386,0x0010
52402,0x0004
52402,0x0004
443,0x0018
52386,0x0010
443,0x0018
443,0x0011
52430,0x0004
52430,0x0004
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
52386,0x0018
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
443,0x0010
443,0x0010
443,0x0010
52386,0x0018
443,0x0010
443,0x0010
443,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0018
52386,0x0010
443,0x0010
443,0x0018
52386,0x0010
52386,0x0010
443,0x0018
443,0x0018
52386,0x0010
443,0x0018
