date,time,ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
Mar  8, 2024 15:23:55.205330753 EST,20.189.173.3,192.168.4.133,443,35354,243,0x0018
Mar  8, 2024 15:23:55.205451109 EST,20.189.173.3,192.168.4.133,443,35354,243,0x0010
Mar  8, 2024 15:23:55.205466716 EST,20.189.173.3,192.168.4.133,443,35354,243,0x0018
Mar  8, 2024 15:23:55.205478061 EST,20.189.173.3,192.168.4.133,443,35354,243,0x0018
Mar  8, 2024 15:23:55.280935870 EST,104.208.16.90,192.168.4.133,443,37772,31808,0x0002
Mar  8, 2024 15:23:55.316327139 EST,192.168.4.133,20.189.173.3,35354,443,16386,0x0010
Mar  8, 2024 15:23:55.316327466 EST,192.168.4.133,20.189.173.3,35354,443,16386,0x0010
Mar  8, 2024 15:23:55.335303950 EST,192.168.4.133,20.189.173.3,35354,443,16386,0x0018
Mar  8, 2024 15:23:55.340180897 EST,192.168.4.133,104.208.16.90,37772,443,65535,0x0012
Mar  8, 2024 15:23:55.340229864 EST,104.208.16.90,192.168.4.133,443,37772,249,0x0010
Mar  8, 2024 15:23:55.340655836 EST,104.208.16.90,192.168.4.133,443,37772,249,0x0018
Mar  8, 2024 15:23:55.378088438 EST,20.189.173.3,192.168.4.133,443,35354,243,0x0010
Mar  8, 2024 15:23:55.405750715 EST,192.168.4.133,104.208.16.90,37772,443,16384,0x0018
Mar  8, 2024 15:23:55.405824340 EST,104.208.16.90,192.168.4.133,443,37772,249,0x0010
Mar  8, 2024 15:23:55.407546068 EST,104.208.16.90,192.168.4.133,443,37772,249,0x0018
Mar  8, 2024 15:23:55.490947089 EST,192.168.4.133,104.208.16.90,37772,443,16382,0x0010
Mar  8, 2024 15:23:55.492710894 EST,192.168.4.133,104.208.16.90,37772,443,16382,0x0018
Mar  8, 2024 15:23:55.493029911 EST,104.208.16.90,192.168.4.133,443,37772,243,0x0010
Mar  8, 2024 15:23:55.495463286 EST,104.208.16.90,192.168.4.133,443,37772,243,0x0010
Mar  8, 2024 15:23:55.495492436 EST,104.208.16.90,192.168.4.133,443,37772,243,0x0018
Mar  8, 2024 15:23:55.495502006 EST,104.208.16.90,192.168.4.133,443,37772,243,0x0018
